experiment_name,output_dir,parsed_block_size,epoch,split,loss,perplexity,bpc
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,7,train,1.5274805545806884,4.606556222739347,2.203688621147883
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,7,val,1.6877162388354818,5.40711802763954,2.434859848195723
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,8,train,1.4772097269694011,4.38070524807684,2.1311631474516948
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,8,val,1.646440725047895,5.188479697359832,2.3753118691442276
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,9,train,1.4342494487762452,4.196494142678364,2.0691845671472184
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,9,val,1.6207951989903824,5.057110126944663,2.3383131958800654
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,10,train,1.4044825394948324,4.073418362689534,2.0262399947443326
tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,outputs/TinyShakespeare/tiny_shakespeare_multiscale_gated_mamba2_random_windows_block_size_512,512,10,val,1.594031725514067,4.92355940636579,2.299701665418822
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,1,train,3.043336041768392,20.97510045822275,4.390605815217906
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,1,val,2.4885217143673906,12.043459281677949,3.590177936462336
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,2,train,2.2578298727671307,9.56231519322426,3.257359960612099
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,2,val,2.1452790191142572,8.54442496261107,3.094983402199279
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,3,train,1.9698288520177205,7.169449346548471,2.8418623162059653
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,3,val,1.9623729359413695,7.116193316862272,2.8311057030573292
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,4,train,1.7841101249059041,5.954279024745372,2.573926829601537
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,4,val,1.8555965435233521,6.395512314329923,2.6770599312318417
tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,outputs/TinyShakespeare/tiny_shakespeare_multiscale_mamba2_attention_random_windows_block_size_1024,1024,5,train,1.6594520568847657,5.256429830666724,2.3940832530606415
